author,date,post
Neinda,"Sep 02 2022, ","
					,
,
,Plus 1. Well said.   As usual, we are asked for feedback.  We provide feedback.  The feedback gets filed in the round file cabinet and I think we were told tough luck yesterday with the response.  That is what it sounded like to me anyway.  I think this was more of a preview of things to come rather than a request for suggestions and concerns.
				"
Vilan,"Sep 02 2022, ","
					""We want your feedback"" is more of a code word for ""we want your bug reports"". If you just don't like a particular change, or want to see additional changes, you can go pound sand. A small chance of some minor reversion to have people wave their pitchforks a little less vigorously, but that's about it. Thus has it ever been in Bullroarer.
				"
DoRonRon,"Sep 02 2022, ","
					,
,
,You are supposed to drop the cash on keys, valars and a load on MC button clicks, or are you so selfish you want to keep your self respect instead? I'm with you ,
,
But if you are not nuking in red with all the best gear you risk facing a rather pathetic heal/incoming slide show to the rezz circle or MC rezzing to avoid the tiresome trip back. ,
,
I'd consider an out of combat swappy LI for,
,
,
Except it only a reduces the default CD from 3 minutes by 99, 90, 81 or 72 seconds dependent on tracery colour. Old ILI it's 144 seconds and a 36 second CD but without a non LI class item in game you have to drag LIs from their slots to make use of them. ,
,
Are there any addons that unequip class item LIs though?
				"
infinitewhimsy,"Sep 02 2022, ","
					,
,
,Why not? RKs get spots as both heals and DPS. ,
,
With the way trait trees looked on BR you won't be able to get all of your Anthems with just 1 Minstrel so it's not that bad to bring 2 Minstrels. And even though Call to Greatness is still full of useless resets like Javelin of Deadly Force the CD on the skill is actually much higher than the duration of the debuff that prevents you from using it again, suggesting again that they want multiple Minstrels in the group... I'm not saying that's going to happen mind you, because I doubt anyone cares enough to waste a DPS slot for things like that, but the concept is there.,
,
I'm not fine with our red spec being the only one unwelcome in raids. That's why I liked the way yellow spec used to work, because you kind of sort of got to DPS as Minstrel as long as you kept your Anthems up, but of course that potential is completely gone now since Blue can get up all of the yellow Anthems now, and has better ones than the red line too (compare Anthem of the Third Age Resonance to Dissonance, the latter is significantly worse). ,
,
And of course now red feels worse solo too with either low numbers in Melody or lower Orome debuff and lost utility and slower anthems and...hah...,
,
,
,
,Thanks for reminding me. I completely forgot they nerfed Still as Death cooldown too, as though the skill wasn't disabled 99.9% of the time you wanted to use it anyway. I remember how these things used to work and how incredibly iconic and thematic they were for group play, and it makes me sad to think about it now. No-one has asked or cared about Still as Death for years now when we used it all the time for stuff throughout SoA, Moria, Mirkwood, to skip mobs, to deaggro, to save on repairs, to rez the group without retreating, etc... ,
,
But of course , is now everywhere. So I guess they better nerf the CD so you can't use it on landscape either.,
,
 Definitely going to get a swap LI for distract, if I'm even still playing my Minstrel...or this game.
				"
Neinda,"Sep 02 2022, ","
					,
,
,But why ask for bug reports?  They rarely fix the bugs until after it goes live and everything goes crash.  I really believe the test server is all about reminding us who is in power these days.  Many years ago, they used to actually listen to player input.  The good old days.  ,
				"
Neinda,"Sep 02 2022, ","
					,
,
,Something is coming to the lotro store.  SSG would not use the manpower and resources required to completely nerf a class unless there is a store sale happening soon to offset the change.  Maybe a new class?  Maybe special buffs?  Maybe special trait lines or extra slots for our LIs?  Something is coming where we will be given the opportunity to buy back what has been taken away.  It has been a couple of weeks since they nerfed the festival and sent it to the mithril coin system.  We are overdue.
				"
CasualActual,"Sep 02 2022, ","
					With all of the things broken in this game I'm not sure why anyone is even looking at the minstrel.  Its been one of the better more fun classes to play the last few level caps.  Are these all nerfs for the benefit of creeps in PVP play?
				"
Bio-Flame,"Sep 02 2022, ","
					Because ""Piercing Cry"" is OP.,
Dear lord, what a joke....
				"
infinitewhimsy,"Sep 02 2022, ","
					,
,
,It's so OP you're the least desirable DPS class in the game not welcome in any group!
				"
Neinda,"Sep 02 2022, ","
					,
,
,But now with all these ""improvements"" they will be begging for DPS minis to join their groups.  (NOT!),
,
I am not sure it is possible but I think we will actually move down a spot on the we don't want your lack of DPS list.,
,
But just wait.  This update minis get nerfed.  We should start a poll and guess which class is next on the nerf list.
				"
Saephellar,"Sep 03 2022, ","
					,
,
,Its funny how they are saying the piercing cry is suddenly too OP when its only been 14 years! they make no sense! SSG doesnt care about our feedback and always makes changed NOBODY ASKED FOR!!
				"
Astralman,"Sep 03 2022, ","
					I can't believe you had the nerve to call Anthems ""iconic"".  The only thing iconic about the min is how game developers can completely trash the most iconic class in MMO history.  That's where your ""iconic"" Anthems came from; a result of that debacle.,
,
I guess it's only fitting that present management is so lost, the Minstrel is finally thrown on the trash heap of gaming history.,
,
In a way it's ironically fitting.  You keep in that delusional cloud you've found for yourself.,
,
That's fitting, too.,
,
DITCH THE SKILL TREE...this isn't WoW,
,
And, by the way folks.  This ""revamp"" of the min is done for the sake of,
a few people trying to appear to be doing something to earn their money.
				"
Arabani,"Sep 03 2022, ","
					,
,
,Do you mean those experts who proclaim temselves great because they can achieve certain numbers on a training dummy? How do you even know if someone is an ""experienced raid healer""? And what does ""an experienced raid healer"" mean in the first place? These are all subjective terms. And because our opinions differ developers ask for feedback. And developers do listen and adjust things if they find them reasonable. A simple ""I want it this way"" is not enough.  ""Our healing is 25% less now, we are doomed, noone will take us to the group now"" is so far from the reality that it would take pages to explain, but I can give you some statements, which might come as a revelation for someone:,
,
1) hps means nothing, it only shows how much damage you group is taken;,
,
2) buffs matter, if there are two healers who can keep a group alive, the one with the better buffs will be taken my meta players;,
,
3) to play a healer means to know when NOT to cast heals and do other things; ,
,
4) ultimately it comes down to the developers' vision of the class balance.
				"
DoRonRon,"Sep 03 2022, ","
					The priority here is development of the system dev's skills set. Doesn't matter how badly or well it goes because LinkedIn doesn't require independent citation. You'd want it to go well ofc or might not feel you want to include said reference. Cordovan doesn't include what he does for Lotro for example.,
,
Internal promotions have ever been the means for staff development so roots in QA in general may be seen as a good grounding, just not so much with Lotro's avoidance/denial of issues over the years. ,
,
There is one classic bug that minstrels have had to bare for years when we refresh anthems between fights; using Chord of Salvation to activate anthems and fall foul of the out of combat for 9 seconds mechanic and largely wasting the CoS.  Now if you were unconcerned about starting encounters with anthems up and running you'd not perhaps notice this bug so much. That QA never got this bug addresses over the years would hint at it wasn't being given any priority. Just a thing we had to work around.  It would indicate a reason for the out of touch anthem changes proposed though if you were not providing your group with those buffs. The free LP/MC or wonton key spending gets you those group play slots before those who have to grind out their gains over months ofc. ,
,
I maybe stretching it but I am struggling to explain it any other way.
				"
Joedangod,"Sep 03 2022, ","
					Found some audio for a minstrel keeping up their anthem rotation:,
,
,
Jokes aside please revise how you're setting up anthems. You're right that we don't want to be spamming out anthems before combat, but we also don't really want to be spamming them out during combat either. We'd be better off only being able to have one anthem active on the raid at a time, potentially with the option of changing which anthem is active to suit the situation.,
,
By suit the situation I mean more generic swapping between offence, defence, or utility. Not the kind of anthem setup where only half the DPS are getting boosted because you separated tactical/physical damage into separate anthems or anything like that. That kind of situation is frustrating for those who don't get boosted and kinda just further enforces whatever is the meta.
				"
wispsong,"Sep 03 2022, ","
					I hope this patch is not on Wednesday, not enough time to finish Gundabad and would hate to just stop there. But once these changes go live my mini is not going to continue questing there.
				"
WeirdJedi,"Sep 03 2022, ","
					,
,
,I think you have time. They already stated there will be another Bullroarer for testing. At the very least they had some tooltips to correct, a few problems that crept up with the new combinations, and testing a quicker anthem speed.
				"
Arabani,"Sep 03 2022, ","
					,
,
,Do you actually realise that Minstrel will have more dps and more survivability after the changes?
				"
wispsong,"Sep 03 2022, ","
					,
,
,If you play correctly. I'm not getting caught in an already very hostile environment trying to learn to play mini again. Died several times in Car Bronach due to grouped mobs in tight quarters.
				"
infinitewhimsy,"Sep 03 2022, ","
					,
,
,What is this based on?,
,
Orome's debuff is 1/3rd of what it is on live, somehow I doubt our DPS is higher even with -5% attack duration from Prowess and a marginal boost to PC...and idk, I guess the tiny DoT you can trait for Coda of Fury? Orome literally affected all of our key DPS skills.,
,
 Plus that guy is talking about landscape, how many Anthems do you imagine they're going to have up and running on the average pull now that they have a 20s shared CD and are in combat only, so I doubt Prowess even makes it as a consideration. ,
,
I don't even have any guesses to what you mean by added survivability. Survivability is far lower in red line without the stun from PC.
				"
hillard1959,"Sep 03 2022, ","
					,
,
,Missions. The new Elladan and Elrohir missions would be perfect for learning/relearning mechanics. They're also not bad for reward track progress.
				"
hillard1959,"Sep 03 2022, ","
					,
,
,As it works right now? Two. And that's only if you have the anthem duration tracery and the anthem traits equipped. And those would be stagger stepped if you wanted to keep them up. At least that's how it worked out for me. I ran Assault of Dharstrok (sp?) on BR when it was open. You actually have to work the anthems you want into your rotation if you want to keep them up.
				"
wispsong,"Sep 03 2022, ","
					,
,
,Did them already and only do these once per character to get the extra tokens from the deed. Missions seem to have become the answer for everything these days. I finished the Gundabad mission deed on my main and that's it. They are boring if run to often.
				"
hillard1959,"Sep 03 2022, ","
					,
,
,Well, my next best suggestion would be Skirmishes. Those were my fallback for such things before Missions became a thing.
				"
Zvim666,"Sep 04 2022, ","
					,
,
,Mini landscape damage is very strong now, it has received a massive buff in damage.,
,
Until you get up to speed you can always quest in high built up areas in blue spec, the main problem with mini is the self-healing is garbage in red spec, i complained about this when our last revamp passed by and we were given god-mode bubbles as a band-aid fix.  They have been reigned in somewhat, but they still haven't done anything to address the poor self-healing in red.,
,
I have a hybrid spec on my main mini that I used to solo instances with, it is blue spec with not a lot in blue, it was mostly a ballad/piercing cry/call of orome spamming build with the added benefit of having SoS, a double strength Chord and Snowball.  Just having that constant stream of SoS healing will make you almost unkillable in landscape, anything that can't kill you very quickly isn't going to be able to.
				"
KaiserThorin,"Sep 04 2022, ","
					Hi guys, I just want to share some thoughts about the anthem system. I really like the idea to make the anthem more special by creating an anthem wide cooldown, forcing the player to choose depending on the situation which anthem to play. But I have to agree with minstrel players, that these changes would demote the current yellow minstrel to a weak support class, not comparable to the captain.,
,
,
With that in mind, I thought about different ways to solve these problems. I came up with a couple of o.k. solutions, tho one really excited me.,
The idea is to create few strong anthems with a clear purpose of strengthen either the offensive, defensive or resilience stats. That could look like the following anthems:,
,
-Anthem of Offensive giving everyone 10% Physical Damage, 20% Tactical Damage and maybe a 5% Attack Duration cut (would be the combined stats from anthem of war, anthem of third age and prowess),
-Anthem of Defensive giving everyone around 150000 Physical Mitigation, 200000 Tactical Mitigation and 2% less incoming damage (a stronger substitute for anthem of composure),
-Anthem of Resilience giving everyone around 400000 Resistance Rating and 15% Incoming Healing, maybe 2% bpe (taking the leftovers from composure and third age to create an anthem for tanks, to heal them up easier),
,
,
The trade off would be, that only one anthem can be active, so the anthem played would overwrite the current anthem. With that, the minstrel player has to make a decision based on the situation to play the best powerfull anthem to buff the group. Especially in a raid, that offers the minstrel player the opportunity to increase the capability of the raid based on the situation. If the raid is trying to challenge T2 with a couple of poorly equiped fellows, the minstrel may decide to play the antehm of defensive to boost their mitigations. Otherwise, when the minstrel is facing a T4 raid, he may alternate between increasing the damage output of the group and increasing the survivability of the tanks. With the upcoming changes to Coda of Melody with a yellow trait, the minstrel would even be able to try a reset on the anthem cooldown for a fast anthem switch.,
Also for the ettenmoors, the anthems would elevate the importance of the player's decision to play the right anthem. Depending on the group's composition, numbers and enemy facing, the minstrel may choose: the offensive anthem for a highly skilled 6man group facing a zerg raid, the anthem of defensive for a raid of low-geared freeps to boost their defensive or the anthem of resilience to substitute the missing loremaster to counter the weaver skills and incoming healing debuffs.,
,
,
With that said, of course the anthems would be very powerfull. So to counter that, those anthems could be designed as improved versions and must be upgraded by putting lots of points into the yellow tree line, forcing you to spend points very thoughtful into the blue tree and red tree. Therefore, the weak version of the anthems could be a part of the minstrel base toolkit and available in every skill tree.,
,
The weak version of the Anthems could look like:,
-Anthem of Offensive 5% Physical and Tactical Damage Increase,
-Anthem of Defensive 50000 Physical Mitigation and 80000 Tactical Mitigation,
-Anthem of Resilience 150000 Resistance Rating and 5% Incoming Healing,
,
For the cash-out effects of the anthems by playing the coda, anthem of offensive could provide 100% crit chance on coda like anthem of war, anthem of defensive a self hot and anthem of resilience a power over time like anthem of composure.,
,
,
Of course I didn't forget about the Anthem of Third Age which is very important to the dps minstrels. I really like the ""Anthem of Third Age: Dissonance"" from the beta and think it should be included into the toolkit. Tho, it might not be a part of the base toolkit and be made available by putting points into the red tree line where the anthem of war is now. (never was a friend of putting points into the red tree to just get anthem of war) With that, Anthem of the Third Age is a part of the red tree skill line.,
,
One question remains, what's with Anthem of Third Age: Resonance?,
This Anthem has always been a very important part of improving the healing output. But with the possible upcoming changes of skill induction reduction and the plenty available options of reducing the skill enduction, maybe the Anthem will loss importance. In my proposed idea, you have to trait into the red line to get the Anthem and even than, the ""anthem of the third age: resonance"" offers less to the group. So it will only be a bail-out anthem to provide a little bit more healing to save the tank, with an instant cast bolster healing. This anthem would surely receive a downgrade.,
,
,
So that's my proposed idea about changing the anthems. I hope you find it interesting and we may discuss it.
				"
DoRonRon,"Sep 04 2022, ","
					,
,
,That's ultimately how every dodgy thing gains acceptance: an RNG BiS in a painful instance, virtues, BBs, new LI base dps, new traceries that break game mechanics/ai.  And ""metrics"" for the CM to offer up a ""seems popular"" when most prior content just got ""cancelled"". And with each ""inducement"" supplied the clawback (we see here) and the fall even further behind for those not so engaged.,
,
,
How many of us have the resources, cash or otherwise, to discover our best builds for how we play and what we do? Only way my Red mini gets a raid slot is if the healing mini becomes a pariah in groups. That's down to player perception; Mini - heal, Guard - tank end of.,
,
Survivability is all about movement. Stood in place like a lemon or always on the move with the skills developed over years to not pull adds. Good grief they just added an in-combat run speed craft recipe (not that I need it) to add to our self/group buff. And why it makes Deadly on LSs rather pathetic for a kiter.,
,
All the explanations the OP has replied with could be simply implemented with tweaks to the existing Minstrel setup. What is the point of making changes if the end point will deliver what you are suggesting if you loose a lot of peeps in the process?,
,
Tweaked the Minstrel skills a bit - not such a great entry for the resume...
				"
gardavil,"Sep 04 2022, ","
					,
,
,Then if your goal is what you claim it is... LEAVE IT AS IS (make no changes to what Minstrel is before this update) please and thank you.
				"
Daguest,"Sep 04 2022, ","
					Piercing cry having a stun has been a thing ever since the game released years and years ago. To me it's a core thing for Red mini ever since, perhaps because it was one of the first red trait you used to get.,
I doubt it was that OP, considering nobody noticed how strong it was for the past, what, 14years ?,
,
It didn't clean corruption for a long time though. If that's the issue, then move the corruption cleaning to another skill ?,
,
,
For the rest, I can't say. I never played yellow mini, so I'm not overly affected. I do not like the idea though. And as many others, I'm concerned to see the removal of many yellow trees in the future. There is already very little progression and customization past a certain level, since you get so many skill point, and many skills are not interesting to begin with. Above lvl 100-120ish, you pretty much unlocked everything you cared about already. Maybe that's an issue that should be looked upon instead ?
				"
Neinda,"Sep 04 2022, ","
					Maybe someone with the knowledge could explain why SSG feels the need to break red and blue in order to make a watered down version of yellow more appealing?,
,
These changes were not asked for by the player base and I don't see how getting a small (if any) boost on landscape while decreasing heals and buffs in group content is a positive change for the class.  The mini has never been a DPS class in group content and none of these changes will make the mini a DPS class being invited to group content.  The changes just move the mini down to the bottom of the list for classes that heal, buff and DPS.  The mini will be the go to class when nothing else is available for a vacant group spot.  Nothing in these changes will make the mini a ""must have"" addition to any group content.  It will be the opposite.  The mini will be last choice in all areas not just DPS.  With the update the mini will have nothing special or unique to offer a group unless lesser DPS/heals/buffs are wanted.  ,
,
So we will run around landscape in melody and that appears to be it for the future of the mini.  Red and blue stances will not be used for much if anything.  If they just want yellow stance minis who are mediocre at anything then this update is a major success.,
,
If you want the mini to play in group content work on the outgoing heals as the new and watered down buffs don't make up for taking away healing capability in a group.  Give the mini something to keep it a viable class in group content.,
,
The best part here is that SSG didn't even feel the need to ask for input from the player base before they dropped this in the test server as they are with other classes.  Minis found out about this change after it was a done deal and our input was not needed and unwanted.,
,
Lesson learned:  Complain about something and SSG will go to silent mode and leave things as they are.  Don't complain and SSG will nerf it since it must be something people like and enjoy.
				"
cwswim03,"Sep 04 2022, ","
					((((((( First off, let me say thank you so much for your time and your feedback. I know changes like these can be frustrating, but I really do appreciate all of you taking the time to read through the changes, hop into Bullroarer, and write out your feeling and feedback here. ))))))),
,
,
Please address the fact that you nerfed overall healing by 30%, essentially relegating minstrel to a buffer/support class. Thanks
				"
DoRonRon,"Sep 04 2022, ","
					Wasn't yellow for peeps that couldn't hack Red nuking everything in sight and Blue MT healing a raid? Mostly because they were never into gearing and virtues, traits and all it takes to make a functioning class. Or is it to remove the re-trait pre pull, if that still goes on, does it?
				"
Vupo,"Sep 06 2022, ","
					Maybe you should fix first the blue line. now the blue line is more ####ty like on the live server. Please do minstrel great again like 105er times or like a heal class and not as a support class/dps.
				"
DoRonRon,"Sep 06 2022, ","
					,
,
,You did get the memo that crafting got side-lined for mote/ember gear, no? Level 20 to cap -10 levels for Motes. And use that to get to cap where you can start earning Embers.,
,
,
______________________________  ______________________________  _____________________,
,
Piercing Cry had a corruption removal component with In Their Absence; Stoneheight had us move the skill for Challenge mode.,
,
Got it's stun in 2011 with Unrelenting,
Got it's Interrupt in 2015, passthrough healing MT was great for boss interrupts.,
Sharing a Story made it OP with crit ballad resets.
				"
infinitewhimsy,"Sep 06 2022, ","
					,
,
,They should just move the corruption removal component to Perfect Ballad and give it a 15-30s CD while upping the damage and removing the ballad buff. It's a skill that absolutely nobody uses anyway and the effect of which is totally useless, this kind of solution would be far smarter than what we had on BR. Hell they could even give it different effects based on your stance, instead of screwing with Piercing Cry to try and force Melody to be used.
				"
hillard1959,"Sep 06 2022, ","
					,
,
,Yeah, no. The only thing that's gone completely useless is Guild crafting. And I'm hoping against hope that won't be a forever thing. Otherwise, you can have my crafted gear when you pry it out of my cold, dead hands. :P,
,
As for corruption removal, on live we also have that on Herald's Strike and Cry of the Valar. Yellow Mini is a corruption removal machine. For now. They probably did go a little overboard with it.
				"
Moondog548,"Sep 06 2022, ","
					,, I've come around to feeling even more strongly that I don't want you to do this.  I have always loved the Protector of Song Minstrel, like I said ever since before trait trees locked you into that.,
,
I can see the perspective that ""oh they're half-healers and half-fighters and that's pointless so just throw the buffs out there for Blue and Red to pick up"".,
,
But that's not actually what a Yellow mini is.  Yellow mini is a buffer first and foremost! The ability to heal AND damage with equal measure (but not simultaneously!) is a really fun REALLY flavorful role for a Minstrel!,
,
So then there's the argument that... well that's a Captain!  You want a Minstrel to be a worse Captain?  No!  I've always had fun with this role, through allllllll the changes over the years to our skillsets and effectiveness (oh god, the scar of the PAIN of post-Mordor awfulness of our class still lingers on my soul...),
,
Because a Minstrel's flavor and mechanics are TOTALLY different from the Captain's, even if the end result is largely similar!  The Captain is leading from the front, and micromanaging his tactics.  The Minstrel is strumming along building everyone's morale and prowess in sweeping movements and delivering a powerful crescendo!,
,
,
				"
DoRonRon,"Sep 06 2022, ","
					,
,
,Used to have interesting Corruption removal mechanics; Guard laying their 10 seconds to activate Sting on a very low CD with RK and LM backing up for resists on LT fight and everyone else removing those skills from bars. Guess it's a gank fight on level these days?,
,
But woe betide new content that's gotten any removal jeopardy in play as everyone's corruption skills are part and parcel of everyone's ""rotations"" with the trend for multi effect skills. Hardly need consider corruptions in Missions content as they are dealt with by those rotations without thought.
				"
hillard1959,"Sep 06 2022, ","
					,
,
,Pretty much. Corruptions used to matter. Of course, that was during Moria and for a little while afterwards. Now, I'm not even sure why they're still in the game. They don't actually make the content any harder or more interesting. At least not on landscape. I haven't raided in years and don't see myself going back into raids at any point in the future. Maybe if they brought difficulty scales to the live servers it might be different. But as it stands now, it's kind of a wasted system.
				"
WeirdJedi,"Sep 06 2022, ","
					,
,
,I found it quite humorous the number of posts that came from people trying to solo Lamentations in Minas Morgul. You either had people asking ""how do I defeat the tree"" or others, especially hunters, asking for a quicker way to remove corruptions. Then they regulated all those things after the Bombadil server came out by adding corruptions, interrupts, and making all skills obtainable by level 20.
				"
hillard1959,"Sep 06 2022, ","
					,
,
,Must have been while I was stuck in Playstationville. By the time I got to the Minas Morgul instances, my biggest obstacle was gear. Once I got over that hurdle, it was all downhill. I didn't even consider that it was a corruption removal fight, as that was something that just happened anyway. LOL
				"
AprilDawn,"Sep 06 2022, ","
					,
Anthems are an iconic part of the minstrel’s toolkit, but they aren’t always a very exciting part of the class. We want anthems to be more interesting to use, but we don’t want them to simply be a chore to maintain. To that end, anthems all now share a cooldown, have shortened durations, and can only be used in combat. We’ve also added a couple anthems and made sure they’re distributed around the trait trees. This means it won’t be possible for a single minstrel to maintain 100% uptime on all their anthems for the group. You’ll have to be a bit choosier with your anthems, but you also won’t be waiting for your anthem buffs to expire, only to pause what you’re doing and click through all of your anthems one by one to refresh the buffs.,
Anthem buffs should also now have greater parity with one another. You should always want to have more anthem buffs, without feeling like any particular anthem is an absolute must-have above everything else.,
,
Anthems also used to apply bonus effects to your next Coda, but these effects could be a bit confusing, and it could be hard to tell which ones were ‘queued up’ for your next Coda. These effects will now trigger directly off of their relevant Anthems, provided you have a point in the new ‘Invigorating Anthems’ trait.,
,
,
In 3 man groups, you may or may not have a mini so anthems may or may not be a priority. I personally run with a Hunter and a guard for most 3 mans on my 140 RK so as you see there are no mini buffs being applied in this scenario. However, when I can swap out my 140 mini for my RK, I do have a ball with her in the 3 mans. These changes are not needed in respect to anthems.  The larger groups have either a Burg, or a LM and sometimes both for buffs, debuffs, and other support duties. Minis are often asked to heal and these changes to the anthems are likely going to have more harmful affects for minis in that regard. You go into Houses of rest with a top tier group, you want that mini to know their tree inside and out. You don't want them just ""learning"" because the devs decided mid stream to make a major change. ,
Currently the mini gives a buff to tact/phys mit and some to damage as well. The third anthem gives a healing boost which is about right for the role of a healer in a group of more than 3 people. There really is no need to ""improve"" on this function.,
,
,
,
,
,
While Dissonance and Resonance have clear benefits, Melody has never had a very strong identity. While making changes to the yellow line, we wanted to strengthen the identity of the Melody stance a bit. While it can do , healing and , damage, it doesn’t excel at either, so we made some changes to make Melody better at applying debuffs, buffs, and unique effects.,
Debuffs applied by Echoes of Battle and Call of Orome are now stronger while in Melody. Similarly, Piercing Cry only removes corruptions and stuns on critical hits when used in Melody. Additionally, Call to Fate can be used in Melody, though it will do less damage than it will in Dissonance.,
,
As a 3 tree mini I see lots of things wrong with this section. First, Echos of battle changes based on your build and stance. Red and blue are the usual ones I play in landscape solo or in instances as part of a group. Yellow I will run usually only when in a small group in landscape but it does get used.  Call of Orome needs to be made ranged regardless of stance. Blue and yellow line currently they are within 5 meters. Piercing Cry needs to be left completely alone. The problem with removing the corruption removal and stun from Dissonance and Resonance stance is that there is a 5 second cool down between swapping stances. In regards to a healing mini running 3 man content, I have the job of interrupting the troll boss in Assault on Durstock. The other thing that this does is removes corruption which often times makes the boss go down a little quicker. If I had to swap from one stance to another, the heals will be lacking and could quite likely mean the difference between success and wiping on a boss. the swap requires about 1 second going each way with a 5 second cool down. So combined between lesser heals for 5 seconds and the 2 seconds of no heals at all while swapping in both directions, you have 7 seconds that stuff can go completely sideways. Sometimes that is all it takes.,
,
Minstrels have three core skills which change depending on stance: your strike, your piercing cry, and your coda. Strike skills have been rebalanced slightly against one another, so their healing and damage values change more depending on your stance. Likewise, Piercing Cry now has more utility in Melody, does more damage in Dissonance, and is weaker offensively in Resonance. Codas (when traited) also now have bonus effects related to their respective stances.,
,
Strike skills are melee range, if you are that close you are too close as a light armour caster class. Healer's job is not over just because the fight is done. So limiting the coda for in combat makes it so the ballads that get built up during the fight get wasted when the fight ends even if there is a need for that heal from the coda. Often when in 3 man if I get something that pulls off the tank, I use my Piercing cry to stun the target that comes to me and run behind the tank dragging said target when they wake up. The stun is an integral part of my healing style regardless of how often it is used or not.,
,
,
,
We know this is a lot of changes all at once, but we hope it improves overall gameplay for Minstrels, lets you access some of the unique abilities formerly hidden behind the yellow specialization, and helps you all feel like protectors of song.,
,
Keep in mind that this is Bullroarer, so some of these changes may not be final, but we want to know what you think, and we look forward to seeing your reactions and feedback below.[/QUOTE]
				"
fealegwe2,"Yesterday, ","
					,
,
,they not balancing classes here. they trying to prevent us from completing the next 6 man too quickly, giving them more time to come up with the next bunch of content.
				"
Elaelin,"Yesterday, ","
					,
,
,While I understand that nothing we say here will have any affect on what you are doing to the mini and this change is set in stone, please answer my question.  What will the mini's role be in group content going forward after these changes?  Will the mini have anything special to make it a wanted class in group content?  Is the mini now reserved for back up buffs and back up heals?  We know the mini won't get a DPS spot.  Yesterday, a friend pointed out to me that a brawler's mug throw does more damage than a mini.  I don't see mini's being on the must have DPS list in the future.
				"
jevvy,"Yesterday, ","
					,
,
,You can't test healing on training dummys. Not actually sure why you picked up this comment. I read the comments of respected raid healers there was no need for you trying to pick apart what I wrote
				"
Paddymus,"Yesterday, ","
					It would appear that - despite all the negative feedback - SSG still intend to go ahead with this nonsense. Please answer -for the love of the game - WHY?
				"
Quehega,"Yesterday, ","
					I've been a main healer for over 10 years and group play has gotten worse and worse for the mini in recent years.,
,
possibilities and potentials were taken more and more. meanwhile, the blue capten is better than the mini.,
just sad,
,
I spare everyone here to go into individual points.,
,
the basic problem is:,
the main role of mini in the Raids an Istances is and was Mainhealer....,
at the current content is not possible, of all healers he is the worst. ,
tank eps is too high to compare ,
group healing is too little. ,
esenselle skills have too much cooldown and/or heal far too little,
,
Atm...Over all, Mini is only in the third healer position....,
,
Just embarrassing,
,
and the current plans make the situation even worse. this makes him a supporter,
,
I've been a main healer for over 10 years and group play has gotten worse and worse for the mini in recent years.,
,
possibilities and potentials were taken more and more. meanwhile, the blue capten is better than the mini.,
just sad
				"
hillard1959,"Yesterday, ","
					""Ballads are now fast skills."",
,
Cool!,
,
""Anthems are now fast skills."",
,
Coo... wait... What? Weren't they fast before? Are they still sharing a 20-second global cd? And you've reduced anthem durations? Oh, Elbereth. ,
,
I'm waiting for BR to open so I can see for myself what was actually meant with this change. But, as it's worded now, it doesn't inspire confidence.,
,
Edit: Now that I've done that...,
,
The change to ballads was a very welcome one. Using ballads felt a lot better and there wasn't a wait to use minor ballad to tier up. Good change.,
,
Anthems still make no sense. At all. Making Anthems ""fast"" skills does absolutely nothing to address the problem. Lowering anthem duration just means you're spending more time spamming your anthems in between cries in order to keep them up. Lowering the anthem duration did not make things better. It made it worse. Not much worse, mind you. I was still pulling in a duration of over a minute per anthem, which isn't bad, but on live my anthems last for over two minutes and I can have 3 up at any given time. What we have here is a solution in search of a problem. Anthems, while easier to use than our last test session, are still in a horrible state as far as actual gameplay is concerned. Please bump anthem durations back up and, if you absolutely must have a global CD for them, please cut that in half. That might, maybe, possibly, improve things.
				"
Ethuilir,"Yesterday, ","
					Small thing I want changed: Maybe have ballads no longer require facing the target?,
,
I like that they are Fast skills now, though. I also like that inductions are now shorter. o.o Hopefully the animations for inducted skills still look fine.,
,
Kinda off-topic here but: I hope they'd change induction skills so that they just stop player movement automatically when used instead of the error popping every time when you use the skills while moving. Maybe. Anything to reduce how annoying errors can be.,
,
Visuals/Flair: Add optional flying music notes (like when playing player music) when casting skills that use instruments, toggleable so that players who don't want to see them won't see them.
				"
